# Filename: file_qdac1_1.dat
# Timestamp: Sun Jul 14 22:22:30 2019

# Column 1:
#	end: 0.1
#	name: x_parameter (gate_1)
#	size: 3
#	start: 0.2
#	type: coordinate
# Column 2:
#	end: 0.02
#	name: y_parameter (gate_2)
#	size: 5
#	start: 0.04
#	type: coordinate
# Column 3:
#	end: 0
#	name: z_parameter (none)
#	size: 1
#	start: 0
#	type: coordinate
# Column 4:
#	name: Gate 1 V meas
#	type: value
# Column 5:
#	name: Gate 1 leak
#	type: value
# Column 6:
#	name: Gate 2 V meas
#	type: value
# Column 7:
#	name: Gate 2 leak
#	type: value
# Column 8:
#	name: Lockin 1 X raw
#	type: value
# Column 9:
#	name: Lockin 1 X pros
#	type: value
# Column 10:
#	name: Lockin 1 Y raw
#	type: value

2.000000000000e-01	4.000000000000e-02	0	2.000090000000e-01	3.515000000000e-09	4.000000000000e-02	3.918423800000e-05	1.007550000000e-04	-5.376904371991e-01	7.860400000000e-07
2.000000000000e-01	3.500000000000e-02	0	2.000090000000e-01	3.357000000000e-09	3.500300000000e-02	3.428562100000e-05	1.006540000000e-04	4.501559798914e-01	8.568200000000e-07
2.000000000000e-01	3.000000000000e-02	0	2.000090000000e-01	3.222000000000e-09	3.000700000000e-02	2.939479200000e-05	1.007290000000e-04	-2.835826822465e-01	6.780060000000e-07
2.000000000000e-01	2.500000000000e-02	0	2.000090000000e-01	3.284000000000e-09	2.499100000000e-02	2.447947100000e-05	1.006240000000e-04	7.439577039274e-01	8.232930000000e-07
2.000000000000e-01	2.000000000000e-02	0	2.000090000000e-01	3.309000000000e-09	1.999500000000e-02	1.958937000000e-05	1.007660000000e-04	-6.451580890381e-01	6.742810000000e-07
1.500000000000e-01	4.000000000000e-02	0	1.500050000000e-01	3.643000000000e-09	4.000000000000e-02	3.918394400000e-05	1.006350000000e-04	6.362100660803e-01	8.232930000000e-07
1.500000000000e-01	3.500000000000e-02	0	1.500050000000e-01	4.080000000000e-09	3.500300000000e-02	3.428489300000e-05	1.007170000000e-04	-1.662579306374e-01	8.530950000000e-07
1.500000000000e-01	3.000000000000e-02	0	1.500050000000e-01	3.691000000000e-09	3.000700000000e-02	2.939405800000e-05	1.007620000000e-04	-6.060816577678e-01	7.413360000000e-07
1.500000000000e-01	2.500000000000e-02	0	1.500050000000e-01	3.801000000000e-09	2.499100000000e-02	2.447951800000e-05	1.006540000000e-04	4.501559798914e-01	8.866230000000e-07
1.500000000000e-01	2.000000000000e-02	0	1.500050000000e-01	3.666000000000e-09	1.999500000000e-02	1.958874500000e-05	1.007430000000e-04	-4.204262330881e-01	6.854570000000e-07
1.000000000000e-01	4.000000000000e-02	0	1.000010000000e-01	4.150000000000e-09	4.000000000000e-02	3.918396700000e-05	1.007210000000e-04	-2.053692874376e-01	7.227100000000e-07
1.000000000000e-01	3.500000000000e-02	0	1.000010000000e-01	4.580000000000e-09	3.500300000000e-02	3.428488500000e-05	1.005910000000e-04	1.067342008728e+00	8.232930000000e-07
1.000000000000e-01	3.000000000000e-02	0	1.000010000000e-01	4.557000000000e-09	3.000700000000e-02	2.939435000000e-05	1.007550000000e-04	-5.376904371991e-01	6.705560000000e-07
1.000000000000e-01	2.500000000000e-02	0	1.000010000000e-01	4.484000000000e-09	2.499100000000e-02	2.447940800000e-05	1.007620000000e-04	-6.060816577678e-01	7.450620000000e-07
1.000000000000e-01	2.000000000000e-02	0	1.000010000000e-01	4.183000000000e-09	1.999500000000e-02	1.958898300000e-05	1.007960000000e-04	-9.381324655741e-01	8.270180000000e-07
